element_library,object_kind,name,icon_key,icon_path,notes
ariel,SubComponent,frontend.epa,ELF_binary_loader,ELF_binary_loader.png,
ariel,SubComponent,MemoryManagerMalloc,mem_alloc,mem_alloc.png,need to create
ariel,SubComponent,MemoryManagerSimple,mmu,mmu.png,
cacheTracer,Component,cacheTracer,cache_memory_tracer,cache_memory_tracer.png,
cassini,SubComponent,AddressHistogrammer,addr_hist,addr_hist.png,
cassini,SubComponent,AddrHistogrammer,addr_hist,addr_hist.png,Updated to match AddressHistogrammer mapping.
cassini,SubComponent,cacheLineTrack,cache_line_trace,cache_line_trace.png,need to create
cassini,SubComponent,NextBlockPrefetcher,block_prefetcher,block_prefetcher.png,need to create
cassini,SubComponent,StridePrefetcher,stride_prefetcher,stride_prefetcher.png,need to create
cramSim,SubComponent,c_AddressHasher,addr_hash,addr_hash.png,Responsible for physical address mapping and channel interleaving.
cramSim,SubComponent,c_CmdScheduler,mem_op_scheduler,mem_op_scheduler.png,Manages the ordering of low-level DRAM commands ready for issuance.
cramSim,Component,c_Controller,mem_controller,mem_controller.png,"The Memory Controller receives the physical address, determines the specific DRAM bank/row/column, and issues the necessary commands to retrieve or store the data."
cramSim,SubComponent,c_DeviceDriver,mem_driver,mem_driver.png,Interface to the specific memory technology model.
cramSim,Component,c_MemhBridge,noc_bridge,noc_bridge.png,
cramSim,Component,c_TraceFileReader,trace_reader,trace_reader.png,
cramSim,SubComponent,c_TxnConverter,mem_op_to_command,mem_op_to_command.png,Transaction-to-command translator.
cramSim,Component,c_TxnDispatcher,mem_trace_injector,mem_trace_injector.png,Trace Dispatcher reads external memory access trace files and injects them into the simulation as memory requests.
cramSim,Component,c_TxnGen,generator,generator.png,
cramSim,SubComponent,c_TxnScheduler,mem_op_scheduler,mem_op_scheduler.png,Manages ordering of high-level transactions before conversion to commands.
ember,SubComponent,3DAMRMotif,comm_pattern,comm_pattern.png,Models an adaptive refinement step from MiniAMR
ember,SubComponent,AllPingPongMotif,comm_pattern,comm_pattern.png,Performs a All Ping Pong Motif
ember,SubComponent,AllgatherMotif,comm_pattern,comm_pattern.png,Performs a Allgather operation with type set to float64 and operation SUM
ember,SubComponent,AllgathervMotif,comm_pattern,comm_pattern.png,Performs a Allgatherv operation with type set to float64 and operation SUM
ember,SubComponent,AllreduceMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,AlltoallMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,AlltoallvMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,BFSMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,BarrierMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,BcastMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,BiPingPongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,CMT1DMotif,comm_pattern,comm_pattern.png,
