element_library_index,element_library,object_kind,object_index,name,alias,description,category,interface,compiled_file,guessed_icon_key,guessed_icon_path,resolved_icon_path,icon_exists,generic_fallback,review_reason
0,Messier,Component,0,Messier,,Messier Component,MEMORY COMPONENT,,messier.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
5,cassini,SubComponent,4,cacheLineTrack,,Tracks cacheline usage before eviction,,SST::MemHierarchy::CacheListener,cacheLineTrack.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
9,firefly,Component,0,loopBack,,,SYSTEM COMPONENT,,loopBack.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path; missing description
9,firefly,SubComponent,0,CtrlMsgProto,,,,SST::Firefly::CtrlMsg::API,ctrlMsg.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path; missing description
9,firefly,SubComponent,1,SimpleMemory,,,,SST::Firefly::SimpleMemoryModel,memoryModel/simpleMemoryModel.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path; missing description
9,firefly,SubComponent,4,ctrlMsgMemory,,,,SST::Firefly::CtrlMsg::Memory,ctrlMsgMemory.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path; missing description
9,firefly,SubComponent,5,detailedInterface,,,,SST::Firefly::DetailedInterface,./memoryModel/detailedInterface.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path; missing description
9,firefly,SubComponent,6,functionSM,,,,SST::Firefly::FunctionSM,functionSM.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path; missing description
9,firefly,SubComponent,7,hades,,,,SST::Hermes::OS,./hades.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path; missing description
9,firefly,SubComponent,8,hadesMP,,,,SST::Hermes::MP::Interface,hadesMP.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path; missing description
9,firefly,SubComponent,9,hadesMisc,,,,SST::Hermes::Interface,hadesMisc.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path; missing description
9,firefly,SubComponent,10,hadesSHMEM,,,,SST::Hermes::Interface,hadesSHMEM.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path; missing description
9,firefly,SubComponent,11,msgTiming,,,,SST::Firefly::CtrlMsg::MsgTiming,ctrlMsgTiming.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path; missing description
